amazon_sku,channel_id, linnworks_code,price_uk, sale_price_uk,,,,,,,,
1101,1,1101,34.99,24.99,,,,,,,,
1101,2,1101,,,,,,,,,,
1101,3,1101,,,,,,,,,,
1101A,1,1101,34.99,24.99,,,,,,,,
1101_FBA,1,1101,34.99,29.99,,,,,,,,
1102,1,1102,44.99,34.99,,,,,,,,
1102,2,1102,,,,,,,,,,
1102,3,1102,,,,,,,,,,
1102_FBA,1,1102,44.99,39.99,,,,,,,,
1103,1,1103,54.99,39.99,,,,,,,,
1103,2,1103,,,,,,,,,,
1103,3,1103,,,,,,,,,,
1103A,1,1103,54.99,39.99,,,,,,,,
1103_FBA,1,1103,54.99,44.99,,,,,,,,
1104,1,1104,64.99,44.99,,,,,,,,
1104,2,1104,,,,,,,,,,
1104,3,1104,,,,,,,,,,
1104A,1,1104,64.99,44.99,,,,,,,,
1104_FBA,1,1104,64.99,49.99,,,,,,,,
1105,1,1105,49.99,29.99,,,,,,,,
1105,2,1105,,,,,,,,,,
1105,3,1105,,,,,,,,,,
1105A,1,1105,49.99,29.99,,,,,,,,
1105_FBA,1,1105,49.99,34.99,,,,,,,,
1106,1,1106,59.99,39.99,,,,,,,,
1106,2,1106,,,,,,,,,,
1106,3,1106,,,,,,,,,,
1106_FBA,1,1106,59.99,44.99,,,,,,,,
1107,1,1107,69.99,44.99,,,,,,,,
1107,2,1107,,,,,,,,,,
1107,3,1107,,,,,,,,,,
1107A,1,1107,69.99,44.99,,,,,,,,
1107_FBA,1,1107,69.99,49.99,,,,,,,,
1108,1,1108,79.99,49.99,,,,,,,,
1108,2,1108,,,,,,,,,,
1108,3,1108,,,,,,,,,,
1108A,1,1108,79.99,49.99,,,,,,,,
1108_FBA,1,1108,79.99,54.99,,,,,,,,
1109,1,1109,49.99,34.99,,,,,,,,
1109,2,1109,,,,,,,,,,
1109,3,1109,,,,,,,,,,
1109V,1,1109,49.99,34.99,,,,,,,,
1109V_FBA,1,1109,49.99,39.99,,,,,,,,
1110,1,1110,59.99,44.99,,,,,,,,
1110V,1,1110,59.99,44.99,,,,,,,,
1110_FBA,1,1110,59.99,49.99,,,,,,,,
1111A,1,1111,69.99,54.99,,,,,,,,
1111A_FBA,1,1111,69.99,59.99,,,,,,,,
DUGFD10.5K,1,DUGFD10.5K,64.99,49.99,,,,,,,,
DUGFD10.5K,2,DUGFD10.5K,,,,,,,,,,
DUGFD10.5K,3,DUGFD10.5K,,,,,,,,,,
DUGFD10.5K_FBA,1,DUGFD10.5K,64.99,54.99,,,,,,,,
DUGFD10.5SK,1,DUGFD10.5SK,74.99,59.99,,,,,,,,
DUGFD10.5SK,2,DUGFD10.5SK,,,,,,,,,,
DUGFD10.5SK,3,DUGFD10.5SK,,,,,,,,,,
DUGFD10.5SKV,1,DUGFD10.5SK,74.99,59.99,,,,,,,,
DUGFD10.5SKV_FBA,1,DUGFD10.5SK,74.99,64.99,,,,,,,,
DUGFD13.5D,1,1110,59.99,44.99,,,,,,,,
DUGFD13.5D,2,1110,,,,,,,,,,
DUGFD13.5D,3,1110,,,,,,,,,,
DUGFD13.5D_FBA,1,1110,59.99,49.99,,,,,,,,
DUHFPC10.5DOUBL,1,DUHFPC10.5DOUBL,19.99,12.99,,,,,,,,
DUHFPC10.5DOUBL,2,DUHFPC10.5DOUBL,,,,,,,,,,
DUHFPC10.5DOUBL,3,DUHFPC10.5DOUBL,,,,,,,,,,
DUHFPC10.5DOUBL_FBA,1,DUHFPC10.5DOUBL,19.99,16.99,,,,,,,,
DUHFPC10.5KING,1,DUHFPC10.5KING,21.99,14.99,,,,,,,,
DUHFPC10.5KING,2,DUHFPC10.5KING,,,,,,,,,,
DUHFPC10.5KING,3,DUHFPC10.5KING,,,,,,,,,,
DUHFPC10.5KING_FBA,1,DUHFPC10.5KING,21.99,18.99,,,,,,,,
DUHFPC10.5SUPK1,1,DUHFPC10.5SUPK,24.99,18.99,,,,,,,,
DUHFPC10.5SUPK1_FBA,1,DUHFPC10.5SUPK,24.99,23.99,,,,,,,,
DUHFPC13.5DOUBL,1,DUHFPC13.5DOUBL,21.99,14.99,,,,,,,,
DUHFPC13.5DOUBL,2,DUHFPC13.5DOUBL,,,,,,,,,,
DUHFPC13.5DOUBL,3,DUHFPC13.5DOUBL,,,,,,,,,,
DUHFPC13.5DOUBL_FBA,1,DUHFPC13.5DOUBL,21.99,18.99,,,,,,,,
DUHFPC13.5SING1,1,DUHFPC13.5SING,19.99,11.99,,,,,,,,
DUHFPC13.5SING1_FBA,1,DUHFPC13.5SING,19.99,15.99,,,,,,,,
DUHFPC15DOUBL,1,DUHFPC15DOUBL,24.99,16.99,,,,,,,,
